Date,Country,Predicted_Vaccinations
2022-03-28,Guyana,886645.0481407642
2022-03-29,Guyana,893560.7182729244
2022-03-30,Guyana,899999.3176589012
2022-03-31,Guyana,906258.710652113
2022-03-24,Haiti,261971.98469901085
2022-03-25,Haiti,266297.97839450836
2022-03-26,Haiti,270732.61767065525
2022-03-27,Haiti,275048.36908614635
2022-03-28,Haiti,278333.6697204113
2022-03-29,Haiti,281344.6023015976
2022-03-30,Haiti,284378.5502387285
2022-03-31,Haiti,287216.04886341095
2022-03-26,Honduras,12181972.6447196
2022-03-27,Honduras,12383204.738173485
2022-03-28,Honduras,12576129.4190979
2022-03-29,Honduras,12773332.896391392
2022-03-30,Honduras,12954453.360269547
2022-03-31,Honduras,13122870.387951374
2022-03-28,Hong Kong,14964605.789746523
2022-03-29,Hong Kong,15019686.61898613
2022-03-30,Hong Kong,15072811.34658575
2022-03-31,Hong Kong,15125579.77151871
2022-03-22,Hungary,17062949.454207063
2022-03-23,Hungary,17170455.079735756
2022-03-24,Hungary,17297952.642768264
2022-03-25,Hungary,17436488.074116945
2022-03-26,Hungary,17581603.923766255
2022-03-27,Hungary,17728693.898905754
2022-03-28,Hungary,17874624.467011333
2022-03-29,Hungary,18017164.94461739
2022-03-30,Hungary,18154981.621943355
2022-03-31,Hungary,18287214.736002922
2022-03-30,Iceland,813959.7586340904
2022-03-31,Iceland,815632.1229479313
2022-03-30,India,1841088022.7214828
2022-03-31,India,1843592236.4150188
2022-03-30,Indonesia,376773619.48606515
2022-03-31,Indonesia,378251556.40309453
2022-03-30,Iran,143279511.6926772
2022-03-31,Iran,143301114.25315166
2022-03-24,Iraq,17402383.76674354
2022-03-25,Iraq,17570833.905789614
2022-03-26,Iraq,17726869.24460578
2022-03-27,Iraq,17874676.132852793
2022-03-28,Iraq,18012680.37762451
2022-03-29,Iraq,18129523.957594156
2022-03-30,Iraq,18236847.119908333
2022-03-31,Iraq,18334179.488200665
2022-03-29,Ireland,10709732.021902679
2022-03-30,Ireland,10712276.361535428
2022-03-31,Ireland,10713579.263184307
2022-03-30,Isle Of Man,188498.445445776
2022-03-31,Isle Of Man,188542.26718354225
2022-03-30,Israel,18041534.655433655
2022-03-31,Israel,18042937.498882294
2022-03-30,Italy,135239436.09450722
2022-03-31,Italy,135252514.520916
2022-03-30,Jamaica,1389562.1619321704
2022-03-31,Jamaica,1390289.9259688258
2022-03-30,Japan,249614370.54120946
2022-03-31,Japan,250506046.31378424
2022-03-22,Kiribati,149963.37509179115
2022-03-23,Kiribati,160078.8561168909
2022-03-24,Kiribati,170328.40818071365
2022-03-25,Kiribati,179947.89342999458
2022-03-26,Kiribati,189464.78143966198
2022-03-27,Kiribati,198672.32879161835
2022-03-28,Kiribati,206504.30664753914
2022-03-29,Kiribati,214222.70097577572
2022-03-30,Kiribati,221619.74637794495
2022-03-31,Kiribati,228835.02300524712
2022-03-30,Kosovo,1819907.3461931944
2022-03-31,Kosovo,1820011.814309597
2022-03-25,Kuwait,7752973.262803554
2022-03-26,Kuwait,7775449.424054026
2022-03-27,Kuwait,7797831.061568557
2022-03-28,Kuwait,7819445.3339755535
2022-03-29,Kuwait,7840426.809549332
2022-03-30,Kuwait,7860243.2684367895
2022-03-31,Kuwait,7875226.44466877
2022-03-30,Kyrgyzstan,2938256.8306765556
2022-03-31,Kyrgyzstan,2945119.3747075796
2022-03-29,Laos,10192295.34814167
2022-03-30,Laos,10224306.78348124
2022-03-31,Laos,10254180.2257483
2022-03-29,Latvia,2867589.9781075716
2022-03-30,Latvia,2867742.2842558026
2022-03-31,Latvia,2867673.7550552487
2022-03-30,Lebanon,5300013.824403048
2022-03-31,Lebanon,5303280.641474247
2022-03-23,Lesotho,1060748.3273527622
2022-03-24,Lesotho,1155012.616319418
2022-03-25,Lesotho,1241150.1412394047
2022-03-26,Lesotho,1330201.5231721401
